date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:43:30	65594/65594	---M--	200	added ('OK')	image/jpeg	date:Fri,%2022%20Sep%202017%2008:57:59%20GMT	https://sophiehustin.com/wp-content/uploads/2017/09/31-Home-sweet-home-89x116.jpg	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/wp-content/uploads/2017/09/31-Home-sweet-home-89x116.jpg	(from https://sophiehustin.com/peintures/home-sweet-home)
12:43:30	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20Jul%202026%2007:43:30%20GMT	https://sophiehustin.com/?p=257	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/index548d.html	(from https://sophiehustin.com/peintures/home-sweet-home)
12:43:30	23503/23503	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202026%2007:43:30%20GMT	https://sophiehustin.com/peintures/point-de-vue	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/peintures/point-de-vue.html	(from https://sophiehustin.com/peintures/home-sweet-home)
12:43:30	68059/68059	---M--	200	added ('OK')	image/jpeg	date:Fri,%2022%20Sep%202017%2009:01:26%20GMT	https://sophiehustin.com/wp-content/uploads/2017/09/POINT-DE-VUE-195X114.jpg	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/wp-content/uploads/2017/09/POINT-DE-VUE-195X114.jpg	(from https://sophiehustin.com/peintures/point-de-vue)
12:43:30	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20Jul%202026%2007:43:31%20GMT	https://sophiehustin.com/?p=255	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/index0c93.html	(from https://sophiehustin.com/peintures/point-de-vue)
12:43:31	23496/23496	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202026%2007:43:31%20GMT	https://sophiehustin.com/peintures/ressources	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/peintures/ressources.html	(from https://sophiehustin.com/peintures/point-de-vue)
12:43:31	40558/40558	---M--	200	added ('OK')	image/jpeg	date:Fri,%2022%20Sep%202017%2008:56:41%20GMT	https://sophiehustin.com/wp-content/uploads/2017/09/1-ressources-113x146.jpg	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/wp-content/uploads/2017/09/1-ressources-113x146.jpg	(from https://sophiehustin.com/peintures/ressources)
12:43:31	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20Jul%202026%2007:43:32%20GMT	https://sophiehustin.com/?p=246	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/index88a0.html	(from https://sophiehustin.com/peintures/ressources)
12:43:32	23507/23507	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202026%2007:43:32%20GMT	https://sophiehustin.com/peintures/representation	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/peintures/representation.html	(from https://sophiehustin.com/peintures/ressources)
12:43:32	55489/55489	---M--	200	added ('OK')	image/jpeg	date:Tue,%2005%20Sep%202017%2014:28:36%20GMT	https://sophiehustin.com/wp-content/uploads/2017/09/repr%c3%a9sentation-89x116.jpg	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/wp-content/uploads/2017/09/repr%c3%a9sentation-89x116.jpg	(from https://sophiehustin.com/peintures/representation)
